,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chicago,41.85,-87.65,79.43,67,75,1.99,US,1633821194
1,London,51.5085,-0.1257,55.15,91,53,2.3,GB,1633821217
2,Rockford,42.2711,-89.094,79.0,57,75,9.22,US,1633821237
3,Sukkur,27.7052,68.8574,76.87,73,0,0.0,PK,1633821291
4,Sydney,-33.8679,151.2073,83.34,53,0,1.99,AU,1633821156
5,Jakarta,-6.2146,106.8451,85.51,85,22,0.0,ID,1633821081
6,Johannesburg,-26.2023,28.0436,62.06,29,48,4.0,ZA,1633821120
7,Lima,-12.0432,-77.0282,61.14,75,40,1.01,PE,1633821291
8,Hilo,19.7297,-155.09,80.33,73,75,6.91,US,1633821039
9,Tilichiki,60.4667,166.1,28.65,64,22,2.93,RU,1633821323
10,Narsimhapur,22.95,79.2,70.86,70,14,4.5,IN,1633821325
11,Cilegon,-6.0174,106.0538,78.69,79,4,2.1,ID,1633821326
12,Hermanus,-34.4187,19.2345,56.89,79,0,10.4,ZA,1633821327
13,Yellowknife,62.456,-114.3525,42.42,100,90,3.0,CA,1633821329
14,Vaini,-21.2,-175.2,80.76,83,20,5.75,TO,1633821330
15,Torbay,47.6666,-52.7314,45.39,85,75,21.85,CA,1633821331
16,Saldanha,-33.0117,17.9442,57.06,78,20,11.97,ZA,1633821333
17,Piaçabuçu,-10.4056,-36.4344,75.54,78,32,8.46,BR,1633821334
18,Los Llanos de Aridane,28.6585,-17.9182,69.55,86,40,10.36,ES,1633821335
19,Port Hardy,50.6996,-127.4199,48.38,93,90,13.8,CA,1633821337
20,Rikitea,-23.1203,-134.9692,74.41,81,100,18.07,PF,1633821338
21,Butaritari,3.0707,172.7902,82.02,70,94,13.09,KI,1633821339
22,Nanga Eboko,4.6833,12.3667,69.24,100,100,2.82,CM,1633821341
23,Sitka,57.0531,-135.33,46.29,71,90,10.22,US,1633821342
24,Barrow,71.2906,-156.7887,32.02,80,75,8.05,US,1633821165
25,Khatanga,71.9667,102.5,17.38,97,100,0.58,RU,1633821344
26,Pitimbu,-7.4706,-34.8086,77.59,78,85,10.25,BR,1633821346
27,Ushuaia,-54.8,-68.3,46.06,81,75,32.21,AR,1633821347
28,Hobart,-42.8794,147.3294,54.05,57,40,5.01,AU,1633821348
29,Faanui,-16.4833,-151.75,78.55,70,13,5.55,PF,1633821350
30,Punta Arenas,-53.15,-70.9167,46.51,76,75,21.85,CL,1633821351
31,Novyy Urgal,51.0736,132.5642,42.12,97,100,3.42,RU,1633821352
32,Shimoda,34.6667,138.95,68.36,85,75,9.17,JP,1633821353
33,Hithadhoo,-0.6,73.0833,82.51,69,100,9.6,MV,1633821355
34,Qasigiannguit,68.8193,-51.1922,30.45,80,100,3.29,GL,1633821356
35,Bikin,46.8161,134.26,51.4,97,100,8.88,RU,1633821357
36,Lixouri,38.2019,20.4314,68.68,79,100,7.16,GR,1633821359
37,Hilo,19.7297,-155.09,80.33,73,75,6.91,US,1633821039
38,Tilichiki,60.4667,166.1,28.65,64,22,2.93,RU,1633821323
39,Narsimhapur,22.95,79.2,70.86,70,14,4.5,IN,1633821325
40,Cilegon,-6.0174,106.0538,78.69,79,4,2.1,ID,1633821326
41,Hermanus,-34.4187,19.2345,56.89,79,0,10.4,ZA,1633821327
42,Yellowknife,62.456,-114.3525,42.42,100,90,3.0,CA,1633821329
43,Vaini,-21.2,-175.2,80.76,83,20,5.75,TO,1633821330
44,Torbay,47.6666,-52.7314,45.39,85,75,21.85,CA,1633821331
45,Saldanha,-33.0117,17.9442,57.06,78,20,11.97,ZA,1633821333
46,Piaçabuçu,-10.4056,-36.4344,75.54,78,32,8.46,BR,1633821334
47,Los Llanos de Aridane,28.6585,-17.9182,69.55,86,40,10.36,ES,1633821335
48,Port Hardy,50.6996,-127.4199,48.38,93,90,13.8,CA,1633821337
49,Rikitea,-23.1203,-134.9692,74.41,81,100,18.07,PF,1633821338
50,Butaritari,3.0707,172.7902,82.02,70,94,13.09,KI,1633821339
51,Nanga Eboko,4.6833,12.3667,69.24,100,100,2.82,CM,1633821341
52,Sitka,57.0531,-135.33,46.29,71,90,10.22,US,1633821342
53,Barrow,71.2906,-156.7887,32.02,80,75,8.05,US,1633821165
54,Khatanga,71.9667,102.5,17.38,97,100,0.58,RU,1633821344
55,Pitimbu,-7.4706,-34.8086,77.59,78,85,10.25,BR,1633821346
56,Ushuaia,-54.8,-68.3,46.06,81,75,32.21,AR,1633821347
57,Hobart,-42.8794,147.3294,54.05,57,40,5.01,AU,1633821348
58,Faanui,-16.4833,-151.75,78.55,70,13,5.55,PF,1633821350
59,Punta Arenas,-53.15,-70.9167,46.51,76,75,21.85,CL,1633821351
60,Novyy Urgal,51.0736,132.5642,42.12,97,100,3.42,RU,1633821352
61,Shimoda,34.6667,138.95,68.36,85,75,9.17,JP,1633821353
62,Hithadhoo,-0.6,73.0833,82.51,69,100,9.6,MV,1633821355
63,Qasigiannguit,68.8193,-51.1922,30.45,80,100,3.29,GL,1633821356
64,Bikin,46.8161,134.26,51.4,97,100,8.88,RU,1633821357
65,Lixouri,38.2019,20.4314,68.68,79,100,7.16,GR,1633821359
66,Tuktoyaktuk,69.4541,-133.0374,30.2,93,90,14.97,CA,1633821408
67,Cimitarra,6.3142,-73.9497,79.23,80,82,1.77,CO,1633821409
68,Donskoye,45.4552,41.9741,44.91,66,100,16.35,RU,1633821410
69,Castro,-24.7911,-50.0119,56.3,99,100,5.12,BR,1633821410
70,Pingyin,36.2831,116.4453,59.86,86,89,13.4,CN,1633821413
71,Santa Rosa,14.3122,121.1114,82.38,86,94,4.65,PH,1633821414
72,Saint-Philippe,-21.3585,55.7679,71.19,85,46,14.29,RE,1633821417
73,Kabompo,-13.5927,24.2008,73.17,35,32,4.21,ZM,1633821418
74,Mikhaylovka,50.06,43.2379,42.1,66,90,6.69,RU,1633821419
75,Puerto Ayora,-0.7393,-90.3518,70.56,87,79,5.99,EC,1633821421
76,Smolyaninovo,43.2956,132.4675,67.46,97,100,10.6,RU,1633821422
77,Nālūt,30.3333,10.85,69.46,57,13,9.28,LY,1633821423
78,Beringovskiy,63.05,179.3167,30.51,94,100,6.64,RU,1633821425
79,Atuona,-9.8,-139.0333,77.95,73,7,17.72,PF,1633821426
80,Grindavik,63.8424,-22.4338,44.55,93,20,11.5,IS,1633821427
