,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chicago,41.85,-87.65,79.43,67,75,1.99,US,1633821194
1,London,51.5085,-0.1257,55.15,91,53,2.3,GB,1633821217
2,Rockford,42.2711,-89.094,79.0,57,75,9.22,US,1633821237
3,Sukkur,27.7052,68.8574,76.87,73,0,0.0,PK,1633821291
8,Hilo,19.7297,-155.09,80.33,73,75,6.91,US,1633821039
9,Tilichiki,60.4667,166.1,28.65,64,22,2.93,RU,1633821323
10,Narsimhapur,22.95,79.2,70.86,70,14,4.5,IN,1633821325
13,Yellowknife,62.456,-114.3525,42.42,100,90,3.0,CA,1633821329
15,Torbay,47.6666,-52.7314,45.39,85,75,21.85,CA,1633821331
18,Los Llanos de Aridane,28.6585,-17.9182,69.55,86,40,10.36,ES,1633821335
19,Port Hardy,50.6996,-127.4199,48.38,93,90,13.8,CA,1633821337
21,Butaritari,3.0707,172.7902,82.02,70,94,13.09,KI,1633821339
22,Nanga Eboko,4.6833,12.3667,69.24,100,100,2.82,CM,1633821341
23,Sitka,57.0531,-135.33,46.29,71,90,10.22,US,1633821342
24,Barrow,71.2906,-156.7887,32.02,80,75,8.05,US,1633821165
25,Khatanga,71.9667,102.5,17.38,97,100,0.58,RU,1633821344
31,Novyy Urgal,51.0736,132.5642,42.12,97,100,3.42,RU,1633821352
32,Shimoda,34.6667,138.95,68.36,85,75,9.17,JP,1633821353
34,Qasigiannguit,68.8193,-51.1922,30.45,80,100,3.29,GL,1633821356
35,Bikin,46.8161,134.26,51.4,97,100,8.88,RU,1633821357
36,Lixouri,38.2019,20.4314,68.68,79,100,7.16,GR,1633821359
37,Hilo,19.7297,-155.09,80.33,73,75,6.91,US,1633821039
38,Tilichiki,60.4667,166.1,28.65,64,22,2.93,RU,1633821323
39,Narsimhapur,22.95,79.2,70.86,70,14,4.5,IN,1633821325
42,Yellowknife,62.456,-114.3525,42.42,100,90,3.0,CA,1633821329
44,Torbay,47.6666,-52.7314,45.39,85,75,21.85,CA,1633821331
47,Los Llanos de Aridane,28.6585,-17.9182,69.55,86,40,10.36,ES,1633821335
48,Port Hardy,50.6996,-127.4199,48.38,93,90,13.8,CA,1633821337
50,Butaritari,3.0707,172.7902,82.02,70,94,13.09,KI,1633821339
51,Nanga Eboko,4.6833,12.3667,69.24,100,100,2.82,CM,1633821341
52,Sitka,57.0531,-135.33,46.29,71,90,10.22,US,1633821342
53,Barrow,71.2906,-156.7887,32.02,80,75,8.05,US,1633821165
54,Khatanga,71.9667,102.5,17.38,97,100,0.58,RU,1633821344
60,Novyy Urgal,51.0736,132.5642,42.12,97,100,3.42,RU,1633821352
61,Shimoda,34.6667,138.95,68.36,85,75,9.17,JP,1633821353
63,Qasigiannguit,68.8193,-51.1922,30.45,80,100,3.29,GL,1633821356
64,Bikin,46.8161,134.26,51.4,97,100,8.88,RU,1633821357
65,Lixouri,38.2019,20.4314,68.68,79,100,7.16,GR,1633821359
66,Tuktoyaktuk,69.4541,-133.0374,30.2,93,90,14.97,CA,1633821408
67,Cimitarra,6.3142,-73.9497,79.23,80,82,1.77,CO,1633821409
68,Donskoye,45.4552,41.9741,44.91,66,100,16.35,RU,1633821410
70,Pingyin,36.2831,116.4453,59.86,86,89,13.4,CN,1633821413
71,Santa Rosa,14.3122,121.1114,82.38,86,94,4.65,PH,1633821414
74,Mikhaylovka,50.06,43.2379,42.1,66,90,6.69,RU,1633821419
76,Smolyaninovo,43.2956,132.4675,67.46,97,100,10.6,RU,1633821422
77,Nālūt,30.3333,10.85,69.46,57,13,9.28,LY,1633821423
78,Beringovskiy,63.05,179.3167,30.51,94,100,6.64,RU,1633821425
80,Grindavik,63.8424,-22.4338,44.55,93,20,11.5,IS,1633821427
81,Jamestown,42.097,-79.2353,63.99,89,90,5.01,US,1633821308
82,Vila Franca do Campo,37.7167,-25.4333,73.2,83,60,9.13,PT,1633821430
83,Spornoye,50.8448,37.2913,37.42,52,99,7.14,RU,1633821433
84,Thompson,55.7435,-97.8558,51.96,50,20,5.75,CA,1633821435
86,Gornyy,55.1153,83.9059,38.79,91,99,7.4,RU,1633821437
87,Kanlagay,5.8757,121.2915,81.97,81,100,3.96,PH,1633821438
92,Kathu,7.9178,98.3332,84.69,97,98,17.34,TH,1633821446
93,Taoudenni,22.6783,-3.9836,91.83,9,89,5.77,ML,1633821447
95,Upernavik,72.7868,-56.1549,33.31,62,99,17.69,GL,1633821453
96,Saint Paul Harbor,57.79,-152.4072,51.31,46,75,18.41,US,1633821454
99,Ribeira Grande,38.5167,-28.7,71.47,79,71,20.0,PT,1633821458
101,Kiruna,67.8557,20.2251,41.92,100,90,11.5,SE,1633821301
102,Meadow Lake,34.8014,-106.5436,79.95,26,18,19.84,US,1633821462
103,Keti Bandar,24.1447,67.4497,79.5,77,0,10.87,PK,1633821463
106,Cherskiy,68.75,161.3,10.83,96,99,5.46,RU,1633821467
107,Chaman,30.9236,66.4512,59.34,26,0,7.54,PK,1633821469
109,Tessalit,20.1986,1.0114,84.2,11,90,8.08,ML,1633821471
111,Shingū,33.7333,135.9833,74.39,89,36,6.69,JP,1633821475
113,Nouadhibou,20.931,-17.0347,73.38,73,84,17.27,MR,1633821478
114,Kavaratti,10.5669,72.642,82.06,79,90,11.65,IN,1633821479
115,Saint George,37.1041,-113.5841,76.62,22,1,3.0,US,1633821480
116,Billings Metropolitan Area,45.7833,-108.5007,62.37,58,75,13.8,US,1633821189
118,Amalāpuram,16.5833,82.0167,77.27,92,93,2.71,IN,1633821484
119,Kabanjahe,3.1001,98.4908,63.36,96,100,3.13,ID,1633821486
120,Saskylakh,71.9167,114.0833,10.26,98,100,2.51,RU,1633821487
121,Dingle,10.9995,122.6711,74.23,98,100,4.56,PH,1633821488
122,San Cristobal,7.7669,-72.225,73.58,95,68,2.08,VE,1633821347
123,Banda Aceh,5.5577,95.3222,79.43,80,87,13.0,ID,1633821491
124,Yārāda,17.65,83.2667,81.05,81,28,5.08,IN,1633821492
127,Talnakh,69.4865,88.3972,15.78,93,50,8.68,RU,1633821496
129,Naze,28.3667,129.4833,79.72,74,70,20.67,JP,1633821499
130,Hong Kong,22.2855,114.1577,81.25,90,100,1.01,HK,1633821253
132,Listvyanskiy,54.4399,83.4984,39.18,88,88,7.78,RU,1633821503
133,San Patricio,28.017,-97.5169,86.72,52,0,13.02,US,1633821505
