,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
4,Sydney,-33.8679,151.2073,83.34,53,0,1.99,AU,1633821156
5,Jakarta,-6.2146,106.8451,85.51,85,22,0.0,ID,1633821081
6,Johannesburg,-26.2023,28.0436,62.06,29,48,4.0,ZA,1633821120
7,Lima,-12.0432,-77.0282,61.14,75,40,1.01,PE,1633821291
11,Cilegon,-6.0174,106.0538,78.69,79,4,2.1,ID,1633821326
12,Hermanus,-34.4187,19.2345,56.89,79,0,10.4,ZA,1633821327
14,Vaini,-21.2,-175.2,80.76,83,20,5.75,TO,1633821330
16,Saldanha,-33.0117,17.9442,57.06,78,20,11.97,ZA,1633821333
17,Piaçabuçu,-10.4056,-36.4344,75.54,78,32,8.46,BR,1633821334
20,Rikitea,-23.1203,-134.9692,74.41,81,100,18.07,PF,1633821338
26,Pitimbu,-7.4706,-34.8086,77.59,78,85,10.25,BR,1633821346
27,Ushuaia,-54.8,-68.3,46.06,81,75,32.21,AR,1633821347
28,Hobart,-42.8794,147.3294,54.05,57,40,5.01,AU,1633821348
29,Faanui,-16.4833,-151.75,78.55,70,13,5.55,PF,1633821350
30,Punta Arenas,-53.15,-70.9167,46.51,76,75,21.85,CL,1633821351
33,Hithadhoo,-0.6,73.0833,82.51,69,100,9.6,MV,1633821355
40,Cilegon,-6.0174,106.0538,78.69,79,4,2.1,ID,1633821326
41,Hermanus,-34.4187,19.2345,56.89,79,0,10.4,ZA,1633821327
43,Vaini,-21.2,-175.2,80.76,83,20,5.75,TO,1633821330
45,Saldanha,-33.0117,17.9442,57.06,78,20,11.97,ZA,1633821333
46,Piaçabuçu,-10.4056,-36.4344,75.54,78,32,8.46,BR,1633821334
49,Rikitea,-23.1203,-134.9692,74.41,81,100,18.07,PF,1633821338
55,Pitimbu,-7.4706,-34.8086,77.59,78,85,10.25,BR,1633821346
56,Ushuaia,-54.8,-68.3,46.06,81,75,32.21,AR,1633821347
57,Hobart,-42.8794,147.3294,54.05,57,40,5.01,AU,1633821348
58,Faanui,-16.4833,-151.75,78.55,70,13,5.55,PF,1633821350
59,Punta Arenas,-53.15,-70.9167,46.51,76,75,21.85,CL,1633821351
62,Hithadhoo,-0.6,73.0833,82.51,69,100,9.6,MV,1633821355
69,Castro,-24.7911,-50.0119,56.3,99,100,5.12,BR,1633821410
72,Saint-Philippe,-21.3585,55.7679,71.19,85,46,14.29,RE,1633821417
73,Kabompo,-13.5927,24.2008,73.17,35,32,4.21,ZM,1633821418
75,Puerto Ayora,-0.7393,-90.3518,70.56,87,79,5.99,EC,1633821421
79,Atuona,-9.8,-139.0333,77.95,73,7,17.72,PF,1633821426
85,Cape Town,-33.9258,18.4232,59.34,61,0,9.82,ZA,1633821301
88,Carnarvon,-24.8667,113.6333,60.87,59,0,11.5,AU,1633821440
89,Mossamedes,-15.1961,12.1522,65.01,76,8,4.99,AO,1633821441
90,Chui,-33.6971,-53.4616,55.76,84,12,8.05,UY,1633821442
91,Isangel,-19.55,169.2667,78.91,69,75,9.22,VU,1633821445
94,Boyolangu,-8.1181,111.8935,75.22,91,92,4.38,ID,1633821452
97,Kruisfontein,-34.0033,24.7314,57.88,80,4,8.97,ZA,1633821456
98,Boueni,-12.9025,45.0761,73.38,74,5,9.01,YT,1633821457
100,Lüderitz,-26.6481,15.1594,64.17,52,81,12.8,NA,1633821460
104,East London,-33.0153,27.9116,60.71,68,7,17.92,ZA,1633821465
105,Ambilobe,-13.2,49.05,70.02,71,23,4.29,MG,1633821466
108,Henties Bay,-22.116,14.2845,55.85,82,0,7.72,NA,1633821470
110,Kavieng,-2.5744,150.7967,82.78,74,80,9.22,PG,1633821473
112,Esperance,-33.8667,121.9,54.57,55,88,4.21,AU,1633821476
117,Mataura,-46.1927,168.8643,61.48,45,13,3.33,NZ,1633821483
125,Arraial do Cabo,-22.9661,-42.0278,67.28,81,100,19.86,BR,1633821493
126,Cidreira,-30.1811,-50.2056,63.75,87,100,18.54,BR,1633821495
128,Coquimbo,-29.9533,-71.3436,56.93,67,0,8.05,CL,1633821272
131,New Norfolk,-42.7826,147.0587,53.71,51,60,4.0,AU,1633821501
140,Tandil,-37.3217,-59.1332,50.05,77,0,5.46,AR,1633821514
145,Nauta,-4.5061,-73.5757,79.09,76,75,1.66,PE,1633821520
147,Kaitangata,-46.2817,169.8464,58.32,54,2,3.62,NZ,1633821523
149,Paragominas,-2.9667,-47.4833,74.39,91,100,3.94,BR,1633821525
151,Caravelas,-17.7125,-39.2481,73.24,76,100,8.5,BR,1633821529
155,Cap Malheureux,-19.9842,57.6142,72.46,73,0,5.99,MU,1633821537
156,Port Alfred,-33.5906,26.891,59.41,75,14,17.25,ZA,1633821538
160,Port Lincoln,-34.7333,135.8667,54.86,53,91,12.62,AU,1633821392
161,Flinders,-34.5833,150.8552,75.79,76,80,4.0,AU,1633821546
162,Beloha,-25.1667,45.05,67.6,76,1,5.01,MG,1633821547
163,Busselton,-33.65,115.3333,45.09,78,95,7.25,AU,1633821548
166,Avarua,-21.2078,-159.775,77.05,65,90,4.61,CK,1633821553
167,Auki,-8.7676,160.7034,85.08,64,100,2.86,SB,1633821555
168,Souillac,-20.5167,57.5167,72.36,83,75,12.66,MU,1633821556
169,Vila Velha,-20.3297,-40.2925,67.95,88,90,5.75,BR,1633821557
170,Mount Gambier,-37.8333,140.7667,53.33,57,42,8.63,AU,1633821559
171,Chillán,-36.6066,-72.1034,59.32,72,0,6.91,CL,1633821340
174,Bredasdorp,-34.5322,20.0403,47.52,93,0,1.14,ZA,1633821564
175,Te Anau,-45.4167,167.7167,57.09,59,59,3.62,NZ,1633821565
176,Belmonte,-15.8631,-38.8828,73.9,79,100,10.83,BR,1633821566
178,Comodoro Rivadavia,-45.8667,-67.5,58.86,55,0,4.61,AR,1633821569
187,Lebu,-37.6167,-73.65,52.03,88,0,8.52,CL,1633821581
191,Bambous Virieux,-20.3428,57.7575,72.21,83,75,12.66,MU,1633821587
192,Mayumba,-3.432,10.6554,76.68,89,98,7.87,GA,1633821439
193,Ambulu,-8.345,113.6058,75.74,85,84,3.11,ID,1633821590
202,Bluff,-46.6,168.3333,62.8,62,60,3.76,NZ,1633821604
204,Paita,-5.0892,-81.1144,64.96,83,75,17.05,PE,1633821607
206,Mahébourg,-20.4081,57.7,72.25,83,75,12.66,MU,1633821609
207,Santiago del Estero,-27.7951,-64.2615,66.0,42,98,4.23,AR,1633821584
211,Grootfontein,-19.5667,18.1167,67.57,13,1,3.44,NA,1633821617
213,Port Elizabeth,-33.918,25.5701,60.1,94,90,14.97,ZA,1633821620
214,Touros,-5.1989,-35.4608,79.7,78,67,16.44,BR,1633821621
218,Ancud,-41.8697,-73.8203,56.73,89,0,6.33,CL,1633821628
220,Puerto Madryn,-42.7692,-65.0385,66.15,33,0,15.26,AR,1633821584
221,Saint-Pierre,-21.3393,55.4781,71.28,73,75,8.05,RE,1633821632
228,Bom Jardim,-7.7958,-35.5872,69.3,89,57,7.9,BR,1633821643
241,Buala,-8.145,159.5921,84.25,68,85,3.29,SB,1633821660
244,Saint-Leu,-21.15,55.2833,70.66,78,12,3.6,RE,1633821665
256,Tuatapere,-46.1333,167.6833,62.82,51,59,4.29,NZ,1633821681
257,Knysna,-34.0363,23.0471,53.98,76,1,5.7,ZA,1633821683
259,Kendari,-3.945,122.4989,78.42,83,93,3.13,ID,1633821685
263,Mutoko,-17.397,32.2268,67.71,40,2,3.76,ZW,1633821691
264,São João da Barra,-21.6403,-41.0511,68.45,79,100,8.95,BR,1633821692
266,Chissamba,-12.1667,17.3333,72.55,36,66,0.72,AO,1633821696
268,Pisco,-13.7,-76.2167,64.45,77,0,6.91,PE,1633821698
269,Natal,-5.795,-35.2094,80.82,74,20,12.66,BR,1633821700
277,Labuhan,-6.8844,112.2051,78.46,78,73,9.95,ID,1633821713
281,Alta Floresta,-9.8756,-56.0861,79.14,64,67,4.07,BR,1633821718
282,Geraldton,-28.7667,114.6,53.13,76,0,0.0,AU,1633821719
287,Port Moresby,-9.4431,147.1797,85.42,70,40,3.44,PG,1633821727
289,Constitución,-35.3333,-72.4167,51.75,89,41,4.34,CL,1633821656
294,Kundiawa,-6.0167,144.9667,69.71,85,94,1.61,PG,1633821737
296,Iquique,-20.2208,-70.1431,60.84,79,31,3.98,CL,1633821702
298,Lucélia,-21.7203,-51.0189,66.09,86,100,10.74,BR,1633821743
299,Ahipara,-35.1667,173.1667,58.89,68,99,10.8,NZ,1633821744
306,Rawson,-43.3002,-65.1023,68.04,31,0,20.13,AR,1633821653
308,Cabinda,-5.55,12.2,76.41,85,76,8.93,AO,1633821756
309,Río Gallegos,-51.6226,-69.2181,66.25,24,0,29.93,AR,1633821697
312,Kaeo,-35.1,173.7833,65.32,68,63,10.27,NZ,1633821763
314,Padang,-0.9492,100.3543,75.25,89,50,4.21,ID,1633821766
317,Kieta,-6.2167,155.6333,83.62,72,47,4.41,PG,1633821770
319,Luwuk,-0.9516,122.7875,79.84,72,91,3.76,ID,1633821772
321,Rosario,-32.9468,-60.6393,68.95,57,0,1.01,AR,1633821686
323,Christchurch,-43.5333,172.6333,60.33,70,40,1.01,NZ,1633821604
332,Airai,-8.9266,125.4092,69.12,34,97,2.06,TL,1633821789
333,Iquitos,-3.7481,-73.2472,78.84,89,40,3.44,PE,1633821790
334,Soe,-9.8607,124.284,74.52,49,96,1.63,ID,1633821792
336,Mahalapye,-23.1041,26.8142,74.28,21,0,7.96,BW,1633821796
342,Ilebo,-4.3167,20.5833,73.98,82,57,1.7,CD,1633821806
347,Artigas,-30.4,-56.4667,61.39,90,76,16.46,UY,1633821813
353,Biak,-0.9131,122.8766,78.24,73,94,4.45,ID,1633821825
354,Bagotville,-28.9833,153.4167,78.82,54,2,5.46,AU,1633821826
360,Quelimane,-17.8786,36.8883,73.35,88,0,8.05,MZ,1633821836
364,Honiara,-9.4333,159.95,84.52,71,90,4.59,SB,1633821841
382,Mar del Plata,-38.0023,-57.5575,55.09,63,0,3.0,AR,1633821865
387,Omboué,-1.5746,9.2618,76.66,90,100,10.13,GA,1633821872
388,Ghanzi,-21.5667,21.7833,67.15,10,0,11.27,BW,1633821874
389,Passos,-20.7189,-46.6097,70.09,91,89,4.09,BR,1633821875
393,Itaituba,-4.2761,-55.9836,83.66,56,61,0.87,BR,1633821687
397,Santiago,-33.4569,-70.6483,62.04,56,40,5.75,CL,1633821595
400,Codrington,-38.2667,141.9667,53.44,63,26,11.12,AU,1633821890
408,Micheweni,-4.9667,39.8333,76.6,80,8,9.64,TZ,1633821901
413,Ambon City,-3.6954,128.1814,78.94,94,75,2.3,ID,1633821910
420,Samarai,-10.6167,150.6667,80.24,78,88,14.99,PG,1633821922
421,Saint-Joseph,-21.3667,55.6167,70.18,82,37,12.82,RE,1633821923
423,Itarema,-2.9248,-39.9167,79.61,80,71,17.45,BR,1633821926
